year,month,day,title,links,year_gregorian,month_gregorian,day_gregorian,event_link,event_link_english,title_english,Politics,Social,Natural Disaster,Science,Art,Sports
224,2,4,نبرد هرمزدگان بین ساسانیان و اشکانیان که منجر به پیروزی ساسانیان و کشته شدن اردوان پنجم شد,"[{'text': 'اردوان پنجم', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%D8%B1%D8%AF%D9%88%D8%A7%D9%86_%DA%86%D9%87%D8%A7%D8%B1%D9%85'}, {'text': 'اشکانیان', 'url': 'https://fa.wikipedia.org/wiki/%D8%B4%D8%A7%D9%87%D9%86%D8%B4%D8%A7%D9%87%DB%8C_%D8%A7%D8%B4%DA%A9%D8%A7%D9%86%DB%8C'}, {'text': 'روز', 'url': 'https://fa.wikipedia.org/wiki/%D8%B1%D9%88%D8%B2'}, {'text': 'ساسانیان', 'url': 'https://fa.wikipedia.org/wiki/%D8%B4%D8%A7%D9%87%D9%86%D8%B4%D8%A7%D9%87%DB%8C_%D8%B3%D8%A7%D8%B3%D8%A7%D9%86%DB%8C'}, {'text': 'نبرد هرمزدگان', 'url': 'https://fa.wikipedia.org/wiki/%D9%86%D8%A8%D8%B1%D8%AF_%D9%87%D8%B1%D9%85%D8%B2%D8%AF%DA%AF%D8%A7%D9%86'}]",845,4,23,https://fa.wikipedia.org/wiki/%D8%A7%D8%B1%D8%AF%D9%88%D8%A7%D9%86_%DA%86%D9%87%D8%A7%D8%B1%D9%85,https://en.wikipedia.org/wiki/Artabanus_IV_of_Parthia,Artabanus IV of Parthia,1.0,,,,,
235,10,2,زمین‌لرزه دامغان,[],856,12,22,,,Damghan earthquake,,,,,,
243,8,14,بنیان نهادن سلسلهٔ علویان طبرستان توسط داعی کبیر در آمل.,"[{'text': 'آمل', 'url': 'https://fa.wikipedia.org/wiki/%D8%A2%D9%85%D9%84'}, {'text': 'داعی کبیر', 'url': 'https://fa.wikipedia.org/wiki/%D8%AF%D8%A7%D8%B9%DB%8C_%DA%A9%D8%A8%DB%8C%D8%B1'}, {'text': 'علویان طبرستان', 'url': 'https://fa.wikipedia.org/wiki/%D8%B9%D9%84%D9%88%DB%8C%D8%A7%D9%86_%D8%B7%D8%A8%D8%B1%D8%B3%D8%AA%D8%A7%D9%86'}]",864,11,4,https://fa.wikipedia.org/wiki/%D8%AF%D8%A7%D8%B9%DB%8C_%DA%A9%D8%A8%DB%8C%D8%B1,https://en.wikipedia.org/wiki/Hasan_ibn_Zayd,Hasan ibn Zayd,1.0,,,,,
272,1,8,زمین‌لرزه اردبیل,[],893,3,27,,,Ardebil earthquake,,,,,,
280,5,15,درگذشت عمرو لیث صفار برادر و جانشین یعقوب در زندان خلیفه عباسی بر اثر گرسنگی.,[],901,8,6,,,The death of Amr Laith Saffar's brother and successor Jacob in Khalifa Abbas Prison in Hunger.,,,,,,
330,10,30,نبرد دربند پارس و دفاع سردار ایرانی آریوبرزن در برابر یورش اسکندر مقدونی.,"[{'text': 'آریوبرزن', 'url': 'https://fa.wikipedia.org/wiki/%D8%A2%D8%B1%DB%8C%D9%88%D8%A8%D8%B1%D8%B2%D9%86'}, {'text': 'اسکندر مقدونی', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%D8%B3%DA%A9%D9%86%D8%AF%D8%B1_%D9%85%D9%82%D8%AF%D9%88%D9%86%DB%8C'}, {'text': 'نبرد دربند پارس', 'url': 'https://fa.wikipedia.org/wiki/%D9%86%D8%A8%D8%B1%D8%AF_%D8%AF%D8%B1%D8%A8%D9%86%D8%AF_%D9%BE%D8%A7%D8%B1%D8%B3'}]",952,1,20,https://fa.wikipedia.org/wiki/%D8%A7%D8%B3%DA%A9%D9%86%D8%AF%D8%B1_%D9%85%D9%82%D8%AF%D9%88%D9%86%DB%8C,https://en.wikipedia.org/wiki/Alexander_the_Great,Alexander the Great,1.0,,,,,
355,9,4,شهر تاریخی بیشاپور، در منطقه کازرون، طی گذشت ۶ سال، تکمیل شد.,"[{'text': 'بیشاپور', 'url': 'https://fa.wikipedia.org/wiki/%D8%A8%DB%8C%D8%B4%D8%A7%D9%BE%D9%88%D8%B1'}, {'text': 'سال', 'url': 'https://fa.wikipedia.org/wiki/%D8%B3%D8%A7%D9%84'}, {'text': 'کازرون', 'url': 'https://fa.wikipedia.org/wiki/%DA%A9%D8%A7%D8%B2%D8%B1%D9%88%D9%86'}]",976,11,24,,,"The historic city of Bishapur, in the Kazerun area, was completed for five years.",,,,,,
366,7,23,آغاز به کار رصدخانه دیلمی ایران به مدیریت ابوسهل کوهی طبری,"[{'text': 'ایران', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%DB%8C%D8%B1%D8%A7%D9%86'}, {'text': 'دی', 'url': 'https://fa.wikipedia.org/wiki/%D8%AF%DB%8C'}]",987,10,15,,,The start of the Iranian Dilmi Observatory was managed by Abu Kuhi Kuhi Tabari,,,,,,
381,9,5,آخرین جنگ اردشیر بابکان، با رومیان، با پیروزی ایران، به پایان رسید.,"[{'text': 'اردشیر بابکان', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%D8%B1%D8%AF%D8%B4%DB%8C%D8%B1_%D8%A8%D8%A7%D8%A8%DA%A9%D8%A7%D9%86'}, {'text': 'ایران', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%DB%8C%D8%B1%D8%A7%D9%86'}, {'text': 'روز', 'url': 'https://fa.wikipedia.org/wiki/%D8%B1%D9%88%D8%B2'}, {'text': 'روم', 'url': 'https://fa.wikipedia.org/wiki/%D8%B1%D9%88%D9%85'}]",1002,11,27,https://fa.wikipedia.org/wiki/%D8%A7%D8%B1%D8%AF%D8%B4%DB%8C%D8%B1_%D8%A8%D8%A7%D8%A8%DA%A9%D8%A7%D9%86,https://en.wikipedia.org/wiki/Ardashir_I,Ardashir I,1.0,,,,,
399,7,26,احداث شهر «به اردشیر» در ایالت کرمان، به دستور اردشیر ساسانی,"[{'text': 'اردشیر ساسانی', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%D8%B1%D8%AF%D8%B4%DB%8C%D8%B1_%D8%B3%D8%A7%D8%B3%D8%A7%D9%86%DB%8C'}, {'text': 'کرمان', 'url': 'https://fa.wikipedia.org/wiki/%DA%A9%D8%B1%D9%85%D8%A7%D9%86'}]",1020,10,18,https://fa.wikipedia.org/wiki/%D8%A7%D8%B1%D8%AF%D8%B4%DB%8C%D8%B1_%D8%B3%D8%A7%D8%B3%D8%A7%D9%86%DB%8C,<No English page found>,"Construction of Ardashir City in Kerman, Ardashir Sassanid",,,,,,
400,12,19,فردوسی چنان که در خود شاهنامه آمده در این روز سرایش شاهنامه را به پایان رساند,"[{'text': 'روز', 'url': 'https://fa.wikipedia.org/wiki/%D8%B1%D9%88%D8%B2'}]",1022,3,10,,,Ferdowsi completed the Shahnameh as the Shahnameh himself,,,,,,
419,3,2,نبرد دندانقان,"[{'text': 'نبرد دندانقان', 'url': 'https://fa.wikipedia.org/wiki/%D9%86%D8%A8%D8%B1%D8%AF_%D8%AF%D9%86%D8%AF%D8%A7%D9%86%D9%82%D8%A7%D9%86'}]",1040,5,23,https://fa.wikipedia.org/wiki/%D9%86%D8%A8%D8%B1%D8%AF_%D8%AF%D9%86%D8%AF%D8%A7%D9%86%D9%82%D8%A7%D9%86,https://en.wikipedia.org/wiki/Battle_of_Dandanaqan,Battle of Dandanaqan,1.0,,,,,
450,6,4,نبرد ملازگرد,"[{'text': 'نبرد ملازگرد', 'url': 'https://fa.wikipedia.org/wiki/%D9%86%D8%A8%D8%B1%D8%AF_%D9%85%D9%84%D8%A7%D8%B2%DA%AF%D8%B1%D8%AF'}]",1071,8,26,https://fa.wikipedia.org/wiki/%D9%86%D8%A8%D8%B1%D8%AF_%D9%85%D9%84%D8%A7%D8%B2%DA%AF%D8%B1%D8%AF,https://en.wikipedia.org/wiki/Battle_of_Manzikert,Battle of Manzikert,1.0,,,,,
508,12,15,زمین‌لرزه جبال,[],1130,3,6,,,Jabal earthquake,,,,,,
522,7,16,تاج‌گذاری داریوش بزرگ,[],1143,10,9,,,Darius the Great Crown,,,,,,
525,8,26,آغاز ساختمان مسجد گوهرشاد در مشهد به دستور گوهرشاد,"[{'text': 'مسجد گوهرشاد', 'url': 'https://fa.wikipedia.org/wiki/%D9%85%D8%B3%D8%AC%D8%AF_%DA%AF%D9%88%D9%87%D8%B1%D8%B4%D8%A7%D8%AF'}, {'text': 'مشهد', 'url': 'https://fa.wikipedia.org/wiki/%D9%85%D8%B4%D9%87%D8%AF'}]",1146,11,17,https://fa.wikipedia.org/wiki/%D9%85%D8%B3%D8%AC%D8%AF_%DA%AF%D9%88%D9%87%D8%B1%D8%B4%D8%A7%D8%AF,https://en.wikipedia.org/wiki/Goharshad_Mosque,Goharshad Mosque,,,,,,
539,5,8,بازسازی بندر صور در فنیقیه با هزینه ایران به دستور کوروش بزرگ و تبدیل شدن این شهر به یکی از پایگاه های دریایی ایران در مدیترانه به مدت ۲ قرن.,"[{'text': 'ایران', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%DB%8C%D8%B1%D8%A7%D9%86'}, {'text': 'دی', 'url': 'https://fa.wikipedia.org/wiki/%D8%AF%DB%8C'}, {'text': 'فنیقیه', 'url': 'https://fa.wikipedia.org/wiki/%D9%81%D9%86%DB%8C%D9%82%DB%8C%E2%80%8C%D9%87%D8%A7'}, {'text': 'کوروش بزرگ', 'url': 'https://fa.wikipedia.org/wiki/%DA%A9%D9%88%D8%B1%D9%88%D8%B4_%D8%A8%D8%B2%D8%B1%DA%AF'}]",1160,7,30,https://fa.wikipedia.org/wiki/%DA%A9%D9%88%D8%B1%D9%88%D8%B4_%D8%A8%D8%B2%D8%B1%DA%AF,https://en.wikipedia.org/wiki/Cyrus_the_Great,Cyrus the Great,,,,,,
539,8,7,ورود کوروش بزرگ به دولت شهر بابل و آزاد کردن یهودیان,"[{'text': 'دی', 'url': 'https://fa.wikipedia.org/wiki/%D8%AF%DB%8C'}]",1160,10,29,,,Cyrus the Great entry into the Babylonian government and release the Jews,1.0,,,,,
551,12,18,ساخت تالار جدیدی در کاخ سفید (تیسفون) که به نام طاق کسری شهرت یافت، به پایان رسید,"[{'text': 'دی', 'url': 'https://fa.wikipedia.org/wiki/%D8%AF%DB%8C'}, {'text': 'طاق کسری', 'url': 'https://fa.wikipedia.org/wiki/%D8%B7%D8%A7%D9%82_%DA%A9%D8%B3%D8%B1%DB%8C'}, {'text': 'کاخ سفید (تیسفون)', 'url': 'https://fa.wikipedia.org/wiki/%DA%A9%D8%A7%D8%AE_%D8%B3%D9%81%DB%8C%D8%AF_(%D8%AA%DB%8C%D8%B3%D9%81%D9%88%D9%86)'}]",1173,3,9,https://fa.wikipedia.org/wiki/%D8%B7%D8%A7%D9%82_%DA%A9%D8%B3%D8%B1%DB%8C,https://en.wikipedia.org/wiki/Taq_Kasra,Taq Kasra,,,,,,
559,7,22,تاج‌گذاری کوروش بزرگ,"[{'text': 'کوروش بزرگ', 'url': 'https://fa.wikipedia.org/wiki/%DA%A9%D9%88%D8%B1%D9%88%D8%B4_%D8%A8%D8%B2%D8%B1%DA%AF'}]",1180,10,14,https://fa.wikipedia.org/wiki/%DA%A9%D9%88%D8%B1%D9%88%D8%B4_%D8%A8%D8%B2%D8%B1%DA%AF,https://en.wikipedia.org/wiki/Cyrus_the_Great,Cyrus the Great,,,,,,
599,3,3,سپاه جبه نویان به دروازه های نیشابور رسید,"[{'text': 'جبه نویان', 'url': 'https://fa.wikipedia.org/wiki/%D8%AC%D8%A8%D9%87_%D9%86%D9%88%DB%8C%D8%A7%D9%86'}]",1220,5,23,https://fa.wikipedia.org/wiki/%D8%AC%D8%A8%D9%87_%D9%86%D9%88%DB%8C%D8%A7%D9%86,https://en.wikipedia.org/wiki/Jebe,Jebe,,,,,,
637,2,1,آغاز نگارش گلستان سعدی,"[{'text': 'دی', 'url': 'https://fa.wikipedia.org/wiki/%D8%AF%DB%8C'}, {'text': 'سعدی', 'url': 'https://fa.wikipedia.org/wiki/%D8%B3%D8%B9%D8%AF%DB%8C'}, {'text': 'گلستان سعدی', 'url': 'https://fa.wikipedia.org/wiki/%DA%AF%D9%84%D8%B3%D8%AA%D8%A7%D9%86_%D8%B3%D8%B9%D8%AF%DB%8C'}]",1258,4,21,https://fa.wikipedia.org/wiki/%DA%AF%D9%84%D8%B3%D8%AA%D8%A7%D9%86_%D8%B3%D8%B9%D8%AF%DB%8C,https://en.wikipedia.org/wiki/Gulistan_(book),Gulistan (book),,,,,,
638,2,16,آغاز ساخت رصدخانه مراغه (سه شنبه۴ جمادی‌الاول ۶۵۷ قمری) که بعنوان روز مراغه نام دارد. این روز با هدف شناساندن فرهنگ و تمدن و مکتب مراغه، با تصویب شورای فرهنگی عمومی به مناسبت آغاز احداث رصدخانه تاریخی در این شهر روز مراغه نام گذاری شده‌است.,"[{'text': 'تصویب', 'url': 'https://fa.wikipedia.org/wiki/%D8%AA%D8%B5%D9%88%DB%8C%D8%A8'}, {'text': 'تمدن', 'url': 'https://fa.wikipedia.org/wiki/%D8%AA%D9%85%D8%AF%D9%86'}, {'text': 'دی', 'url': 'https://fa.wikipedia.org/wiki/%D8%AF%DB%8C'}, {'text': 'رصدخانه مراغه', 'url': 'https://fa.wikipedia.org/wiki/%D8%B1%D8%B5%D8%AF%D8%AE%D8%A7%D9%86%D9%87_%D9%85%D8%B1%D8%A7%D8%BA%D9%87'}, {'text': 'روز', 'url': 'https://fa.wikipedia.org/wiki/%D8%B1%D9%88%D8%B2'}, {'text': 'شنبه', 'url': 'https://fa.wikipedia.org/wiki/%D8%B4%D9%86%D8%A8%D9%87'}, {'text': 'فرهنگ', 'url': 'https://fa.wikipedia.org/wiki/%D9%81%D8%B1%D9%87%D9%86%DA%AF'}, {'text': 'مکتب', 'url': 'https://fa.wikipedia.org/wiki/%D9%85%DA%A9%D8%AA%D8%A8'}, {'text': '۴ جمادی\u200cالاول', 'url': 'https://fa.wikipedia.org/wiki/%DB%B4_%D8%AC%D9%85%D8%A7%D8%AF%DB%8C%E2%80%8C%D8%A7%D9%84%D8%A7%D9%88%D9%84'}]",1259,5,6,https://fa.wikipedia.org/wiki/%D8%B1%D8%B5%D8%AF%D8%AE%D8%A7%D9%86%D9%87_%D9%85%D8%B1%D8%A7%D8%BA%D9%87,https://en.wikipedia.org/wiki/Maragheh_observatory,Maragheh observatory,,1.0,,,,
663,8,2,کشته شدن خواجه شمس‌الدین جوینی، (صاحبدیوان)، ادیب، شاعر و وزیر ارغون‌خان (چهارمین ایلخانان),"[{'text': 'ادیب', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%D8%AF%D8%A8%DB%8C%D8%A7%D8%AA'}, {'text': 'ارغون\u200cخان', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%D8%B1%D8%BA%D9%88%D9%86%E2%80%8C%D8%AE%D8%A7%D9%86'}, {'text': 'ایلخانان', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%DB%8C%D9%84%D8%AE%D8%A7%D9%86%D8%A7%D9%86'}, {'text': 'دی', 'url': 'https://fa.wikipedia.org/wiki/%D8%AF%DB%8C'}, {'text': 'شاعر', 'url': 'https://fa.wikipedia.org/wiki/%D8%B4%D8%A7%D8%B9%D8%B1'}, {'text': 'شمس\u200cالدین جوینی', 'url': 'https://fa.wikipedia.org/wiki/%D8%B4%D9%85%D8%B3%E2%80%8C%D8%A7%D9%84%D8%AF%DB%8C%D9%86_%D9%85%D8%AD%D9%85%D8%AF_%D8%AC%D9%88%DB%8C%D9%86%DB%8C'}, {'text': 'وزیر', 'url': 'https://fa.wikipedia.org/wiki/%D9%88%D8%B2%DB%8C%D8%B1'}]",1284,10,23,https://fa.wikipedia.org/wiki/%D8%B4%D9%85%D8%B3%E2%80%8C%D8%A7%D9%84%D8%AF%DB%8C%D9%86_%D9%85%D8%AD%D9%85%D8%AF_%D8%AC%D9%88%DB%8C%D9%86%DB%8C,https://en.wikipedia.org/wiki/Shams_al-Din_Juvayni,Shams al-Din Juvayni,1.0,,,,,
880,9,30,تاج‌گذاری شاه اسماعیل یکم,"[{'text': 'شاه اسماعیل یکم', 'url': 'https://fa.wikipedia.org/wiki/%D8%B4%D8%A7%D9%87_%D8%A7%D8%B3%D9%85%D8%A7%D8%B9%DB%8C%D9%84_%DB%8C%DA%A9%D9%85'}]",1501,12,21,https://fa.wikipedia.org/wiki/%D8%B4%D8%A7%D9%87_%D8%A7%D8%B3%D9%85%D8%A7%D8%B9%DB%8C%D9%84_%DB%8C%DA%A9%D9%85,https://en.wikipedia.org/wiki/Ismail_I,Ismail I,,,,,,
889,9,16,نبرد مرو میان صفویان با همراهی بابر گورکانی در برابر شیبانیان,"[{'text': 'نبرد مرو', 'url': 'https://fa.wikipedia.org/wiki/%D9%86%D8%A8%D8%B1%D8%AF_%D9%85%D8%B1%D9%88'}]",1510,12,8,https://fa.wikipedia.org/wiki/%D9%86%D8%A8%D8%B1%D8%AF_%D9%85%D8%B1%D9%88,https://en.wikipedia.org/wiki/Battle_of_Merv,Battle of Merv,1.0,,,,,
891,9,1,جنگ غجدوان,"[{'text': 'جنگ غجدوان', 'url': 'https://fa.wikipedia.org/wiki/%D8%AC%D9%86%DA%AF_%D8%BA%D8%AC%D8%AF%D9%88%D8%A7%D9%86'}]",1512,11,22,https://fa.wikipedia.org/wiki/%D8%AC%D9%86%DA%AF_%D8%BA%D8%AC%D8%AF%D9%88%D8%A7%D9%86,https://en.wikipedia.org/wiki/Battle_of_Ghazdewan,Battle of Ghazdewan,1.0,,,,,
893,5,31,وقوع جنگ چالدران در دشت چالدران (در شمال آذربایجان غربی) و شکست سپاه قزلباش ایران به فرماندهی شاه اسماعیل یکم صفوی از ارتش عثمانی به فرماندهی سلطان سلیم یکم,"[{'text': 'آذر', 'url': 'https://fa.wikipedia.org/wiki/%D8%A2%D8%B0%D8%B1'}, {'text': 'آذربایجان غربی', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%D8%B3%D8%AA%D8%A7%D9%86_%D8%A2%D8%B0%D8%B1%D8%A8%D8%A7%DB%8C%D8%AC%D8%A7%D9%86_%D8%BA%D8%B1%D8%A8%DB%8C'}, {'text': 'جنگ چالدران', 'url': 'https://fa.wikipedia.org/wiki/%D8%AC%D9%86%DA%AF_%DA%86%D8%A7%D9%84%D8%AF%D8%B1%D8%A7%D9%86'}, {'text': 'سلطان سلیم یکم', 'url': 'https://fa.wikipedia.org/wiki/%D8%B3%D9%84%DB%8C%D9%85_%DB%8C%DA%A9%D9%85'}, {'text': 'شاه اسماعیل یکم', 'url': 'https://fa.wikipedia.org/wiki/%D8%B4%D8%A7%D9%87_%D8%A7%D8%B3%D9%85%D8%A7%D8%B9%DB%8C%D9%84_%DB%8C%DA%A9%D9%85'}, {'text': 'عثمانی', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%D9%85%D9%BE%D8%B1%D8%A7%D8%AA%D9%88%D8%B1%DB%8C_%D8%B9%D8%AB%D9%85%D8%A7%D9%86%DB%8C'}, {'text': 'قزلباش', 'url': 'https://fa.wikipedia.org/wiki/%D9%82%D8%B2%D9%84%D8%A8%D8%A7%D8%B4'}]",1514,8,23,https://fa.wikipedia.org/wiki/%D8%A7%D8%B3%D8%AA%D8%A7%D9%86_%D8%A2%D8%B0%D8%B1%D8%A8%D8%A7%DB%8C%D8%AC%D8%A7%D9%86_%D8%BA%D8%B1%D8%A8%DB%8C,https://en.wikipedia.org/wiki/West_Azerbaijan_province,West Azerbaijan province,1.0,,,,,
894,7,22,تصرف جزیره‌های راهبردی دریای پارس توسط نیروی دریایی پرتغال به فرماندهی آلفونس دالبوکرکی,"[{'text': 'دریای پارس', 'url': 'https://fa.wikipedia.org/wiki/%D8%AE%D9%84%DB%8C%D8%AC_%D9%81%D8%A7%D8%B1%D8%B3'}, {'text': 'دی', 'url': 'https://fa.wikipedia.org/wiki/%D8%AF%DB%8C'}]",1515,10,15,https://fa.wikipedia.org/wiki/%D8%AE%D9%84%DB%8C%D8%AC_%D9%81%D8%A7%D8%B1%D8%B3,https://en.wikipedia.org/wiki/Persian_Gulf,Persian Gulf,,,,,,
907,7,2,نبرد جام,"[{'text': 'نبرد جام', 'url': 'https://fa.wikipedia.org/wiki/%D9%86%D8%A8%D8%B1%D8%AF_%D8%AC%D8%A7%D9%85'}]",1528,9,24,https://fa.wikipedia.org/wiki/%D9%86%D8%A8%D8%B1%D8%AF_%D8%AC%D8%A7%D9%85,<No English page found>,Cup battle,1.0,,,,,
908,6,30,عقب‌نشینی ارتش عثمانی از وین، نیروی عثمانی به سبب بدی هوا و شیوع بیماری میان سربازانش از محاصره وین دست کشید. این محاصره ۹ سال طول کشید. (۲۱ سپتامبر ۱۵۲۹),"[{'text': 'ارتش', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%D8%B1%D8%AA%D8%B4'}, {'text': 'دی', 'url': 'https://fa.wikipedia.org/wiki/%D8%AF%DB%8C'}, {'text': 'سال', 'url': 'https://fa.wikipedia.org/wiki/%D8%B3%D8%A7%D9%84'}, {'text': 'عثمانی', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%D9%85%D9%BE%D8%B1%D8%A7%D8%AA%D9%88%D8%B1%DB%8C_%D8%B9%D8%AB%D9%85%D8%A7%D9%86%DB%8C'}, {'text': 'وین', 'url': 'https://fa.wikipedia.org/wiki/%D9%88%DB%8C%D9%86'}, {'text': '۲۱ سپتامبر', 'url': 'https://fa.wikipedia.org/wiki/%DB%B2%DB%B1_%D8%B3%D9%BE%D8%AA%D8%A7%D9%85%D8%A8%D8%B1'}]",1529,9,21,https://fa.wikipedia.org/wiki/%DB%B2%DB%B1_%D8%B3%D9%BE%D8%AA%D8%A7%D9%85%D8%A8%D8%B1,https://en.wikipedia.org/wiki/September_21,September 21,,,,,,
